PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23305|17040238|31208|412006|1111 ARLINGTON BLVD 634|||3667|0005|ARLAND LLC                          |94000|2004-02-26 00:00:00||False
23305|17040238|31208|412006|1111 ARLINGTON BLVD 634|5|5-Not Market Sale|4492|2329|ARLAND LLC                          |0|2011-09-30 00:00:00||False
23305|17040238|31208|412006|1111 ARLINGTON BLVD 634|2|2-Sale or Gift to Relative|4492|2325|ARLAND LLC                          |0|2011-09-30 00:00:00||False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|O|O-Assignment of Lease|2151|0497|ARLAND LLC|49400|1983-12-21 00:00:00||False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|W|W-Will / R.O.S/L O H|2151|0497|ARLAND LLC|0|2010-12-13 00:00:00||False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|W|W-Will / R.O.S/L O H|    |    |ARLAND LLC|0|2022-03-14 00:00:00|20220400023615                  |False
23306|17040239|31209|412006|1111 ARLINGTON BLVD 635|O|O-Assignment of Lease|    |    |ARLAND LLC|109000|2022-06-30 00:00:00|20220100012652                  |False
53785|17040240|31210|412006|1111 ARLINGTON BLVD 636|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
53785|17040240|31210|412006|1111 ARLINGTON BLVD 636|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
53785|17040240|31210|412006|1111 ARLINGTON BLVD 636|||3969|0589|ARLAND LLC|138000|2006-04-11 00:00:00||False
53785|17040240|31210|412006|1111 ARLINGTON BLVD 636|O|O-Assignment of Lease|    |    |ARLAND LLC|142000|2020-07-17 00:00:00|20200100017200                  |False
23307|17040241|31211|412006|1111 ARLINGTON BLVD 637|||2401|1788|ARLAND LLC                          |64900|1989-08-31 00:00:00||False
23307|17040241|31211|412006|1111 ARLINGTON BLVD 637|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|||2429|1435|ARLAND LLC                          |46700|1990-04-13 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|||3843|0802|ARLAND LLC                          |142500|2005-05-17 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|||4083|2225|ARLAND LLC                          |142000|2007-03-30 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|1|1-Foreclosure, Auction, Bankru|4337|1326|ARLAND LLC                          |112900|2009-12-07 00:00:00||False
23308|17040242|31212|412006|1111 ARLINGTON BLVD 638|K|K-Financial Institution|4342|0857|ARLAND LLC                          |125000|2010-01-29 00:00:00||False
23309|17040243|31213|412006|1111 ARLINGTON BLVD 639|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
23309|17040243|31213|412006|1111 ARLINGTON BLVD 639|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|5|5-Not Market Sale|E624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|||3501|2382|ARLAND LLC|92500|2003-04-02 00:00:00||False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|O|O-Assignment of Lease|    |    |ARLAND LLC|0|2017-09-08 00:00:00|20170100019724                  |False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|O|O-Assignment of Lease|    |    |ARLAND LLC|0|2017-09-08 00:00:00|20170100019723                  |False
23310|17040244|31214|412006|1111 ARLINGTON BLVD 640|W|W-Will / R.O.S/L O H|    |    |ARLAND LLC|0|2023-07-27 00:00:00|20230400033797                  |False
23311|17040245|31215|412006|1111 ARLINGTON BLVD 641|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23311|17040245|31215|412006|1111 ARLINGTON BLVD 641|||2886|0321|ARLAND LLC|40000|1997-12-31 00:00:00||False
23311|17040245|31215|412006|1111 ARLINGTON BLVD 641|||3769|0393|ARLAND LLC|187000|2004-10-15 00:00:00||False
23311|17040245|31215|412006|1111 ARLINGTON BLVD 641|2|2-Sale or Gift to Relative|3982|0252|ARLAND LLC|0|2006-03-11 00:00:00||False
23311|17040245|31215|412006|1111 ARLINGTON BLVD 641|W|W-Will / R.O.S/L O H|    |    |ARLAND LLC|0|2021-04-29 00:00:00|20210400018066                  |False
23312|17040246|31216|412006|1111 ARLINGTON BLVD 642|1|1-Foreclosure, Auction, Bankru|2839|1785|ARLAND LLC                          |38000|1997-01-10 00:00:00||False
